DCU_ID	DOSE	ADMINISTRATION	DISEASE	EFFICACY	EFFECT_TYPE	STAGE	SOURCE	ICD10_S	ICD10_L	EFFECTS_T	TOXICITY	OVERALL
DCU05812	Metoprolol: 100-300 mg; Nebivolol: 2-20 mg; Angiotensin II: 3 ng/kg	null	Hypertension	Efficacious	Unclear	Phase 4	NCT01502787	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU05827	Didanosine: 250 mg/day; Lopinavir: 400 mg; Ritonavir: 100 mg; Zidovudine:600 mg	null	HIV Infection	Efficacious	Unclear	Phase 4	NCT00342355	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU05851	Atorvastatin: 20 mg; Ezetimibe: 10 mg; Simvastatin: 40 mg	null	Hypercholesterolemia	Efficacious	Unclear	Phase 3	NCT00782184	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	null	null	null
DCU05852	Atorvastatin: 10/20/40 mg; Ezetimibe: 10 mg; Simvastatin: 40 mg	null	Hypercholesterolemia	Efficacious	Unclear	Phase 3	NCT00409773	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	More subjects achieved triple lipid targets with 10/20-40 mg of ezetimibe/simvastatin versus 10-40 mg of atorvastatin (50%-63% vs 24%-40%).	null	better effecgts than first line therapy
DCU05858	null	null	Tuberculosis	Need further study	Unclear	Phase 2/3	NCT00495326	A15 Respiratory tuberculosis	A00-B99  Certain infectious and parasitic diseases; A15-A19  Tuberculosis; A15  Respiratory tuberculosis	null	null	null
DCU05861	null	null	Schizophrenia	Non-efficacious	Unclear	Phase 4	NCT00044655	F20 Schizophrenia	F00-F99  Mental and behavioural disorders; F20-F29  Schizophrenia, schizotypal and delusional disorders; F20  Schizophrenia	null	null	null
DCU05864	Acamprosate: 2 g/day; Escitalopram: 10/40 mg	null	Major Depressive Disorder	Non-efficacious	Unclear	Phase 4	NCT00452543	F32.3 Major depressive disorder, single episode, severe with psychotic features	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F32  Major depressive disorder, single episode; F32.3 Major depressive disorder, single episode, severe with psychotic features	null	null	null
DCU05867	Cholecacliferol: 800 mg; Insulin glargine: 100 U/ml	null	Diabetes Mellitus, Non-Insulin-Dependent	Efficacious	Unclear	Phase 3	NCT00069784	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU05890	L-NMMA acetate: 125/250/500 mcg/ml/min; Trimethaphan: 4-6 mg/min	null	Hypertension	Efficacious	Unclear	No information	NCT00178919	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU05892	Rosiglitazone: 4 mg; Somatropin: 3 mg	null	HIV-Associated Lipodystrophy Syndrome	Efficacious	Unclear	Phase 1/2	NCT00130286	E88.1 Lipodystrophy, not elsewhere classified	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E88  Other metabolic disorders; E88.1 Lipodystrophy, not elsewhere classified	null	null	null
DCU05899	Basiliximab: 20 mg; Belatacept: 5 mg/kg; Mycophenolate mofetil: 2g/day; Tacrolimus: 3-5 ng/mL	null	Type 1 Diabetes Mellitus	Non-efficacious	Unclear	Phase 2	NCT00468403	E10 Type 1 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E10  Insulin-dependent diabetes mellitus	null	null	null
DCU05908	Hydrochlorothiazide: 160 mg; Valsartan: 25 mg	null	Hypertension	Efficacious	Unclear	Phase 4	NCT01375322	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU05918	Colesevelam: 625 mg; Metformin: 850-1700 mg	null	Type 2 Diabetes Mellitus	Efficacious	Unclear	Phase 3	NCT00570739	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU05926	Didanosine: 200 mg; Nevirapine: 200 mg; Zidovudine: 300 mg	null	HIV Infections	Non-efficacious	Unclear	Phase 4	NCT00618176	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU01744	abacavir sulfate 600 mg/lamivudine 300 mg; lopinavir 200 mg/ritonavir 50 mg	null	HIV-1 Infections	Need further study	Unclear	Phase 4	NCT00772902	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	A statistically significant decrease in total cholesterol was observed in the TDF/FTC group: from median (IQR) 6.22 mmol/l (5.91-6.77) at baseline to 5.75 mmol/l (5.04-6.18) at week 12 (median [IQR] change from baseline -0.73 mmol/l [-1.20- -0.18]; P<0.001).	No new safety issues were identified.	well virological control and acceptable toxicity
DCU01757	Docetaxel: 8 mg/kg; Trastuzumab: 100 mg/m2	null	Breast Cancer	Efficacious	Unclear	Phase 2	NCT00679341	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	The overall response rate was 44.9% (22/49). With a median follow-up of 16.6 months, the median time to progression was 8.3 months and the median overall survival was 25.7 months.	The most common toxicity was febrile neutropenia. A total of 10 patients were taken off the study due to treatment-related toxicity, mainly cardiac events.	effective and well tolerated
DCU01762	Bendamustine: 90 mg/m2; Bortezomib: 1.3 mg/m2; Rituximab: 375 mg/m2	null	"Non-Hodgkin's Lymphoma"	Efficacious	Unclear	Phase 2	NCT00547534	C85.9 Non-Hodgkin lymphoma, unspecified	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C85  Other specified and unspecified types of non-Hodgkin lymphoma; C85.9 Non-Hodgkin lymphoma, unspecified	Of 29 patients evaluable for efficacy, 24 (83%) achieved an objective response (including 15 with complete response). With median follow-up of 24 months, 2-year progression-free survival is 47% (95% confidence interval, 25%-69%).	Common nonhematologic adverse events were generally grade 1 or grade 2 and included nausea (50%), neuropathy (47%), fatigue (47%), constipation (40%), and fever (40%).	effective and well tolerated
DCU01766	null	null	Multiple Sclerosis, Relapsing-Remitting	Need further study	Unclear	Phase 2	NCT00676715	G35 Multiple sclerosis	G00-G99  Diseases of the nervous system; G35-G37  Demyelinating diseases of the central nervous system; G35  Multiple sclerosis	The mean yearly relapse rate was 0.22 for methylprednisolone compared with 0.59 for placebo (62% reduction, 95% CI 39-77%; p<0.0001).	Sleep disturbance and neurological and psychiatric symptoms were the most frequent adverse events recorded in the methylprednisolone group.	a significant reduction in relapse rate
DCU01769	null	null	Rheumatoid Arthritis	Efficacious	Unclear	Phase 4	NCT00259610	M05 Rheumatoid arthritis with rheumatoid factor	M00-M99   Diseases of the musculoskeletal system and connective tissue; M05-M14  Inflammatory polyarthropathies; M05  Seropositive rheumatoid arthritis	At 102 weeks, immediate combination treatment with either strategy was more effective than MTX monotherapy prior to the initiation of step-up therapy.	null	better than monotherapy and well tolerated
DCU01770	null	null	Rheumatoid Arthritis	Efficacious	Unclear	Phase 4	NCT00764725	M05 Rheumatoid arthritis with rheumatoid factor	M00-M99   Diseases of the musculoskeletal system and connective tissue; M05-M14  Inflammatory polyarthropathies; M05  Seropositive rheumatoid arthritis	Intent-to-treat analysis revealed that patients receiving the triple combination responded best, with 78% achieving an ACR 20% response at 2 years, compared with 60% of those treated with MTX and HCQ (P = 0.05) and 49% of those treated with MTX and SSZ (P = 0.002). Similar trends were seen for the ACR 50% response, with 55%, 40%, and 29% of patients in the 3 treatment groups, respectively, achieving these results at 2 years (P = 0.005 for the triple combination group versus the MTX and SSZ group).	All combination treatments were well-tolerated.	well-tolerated, and its efficacy is superior to double combination
DCU01773	Exenatide: 60 mcg/d; Metformin: 1.5 g/d	null	Type 2 Diabetes Mellitus	Efficacious	Unclear	Phase 3	NCT00097500	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	Treatment with exenatide + metformin was superior to the placebo + metformin in increasing homeostasis model assessment, C-peptide, and beta-cell function.
DCU01774	Exenatide: 10 mcg/d; Metformin: 1.5 g/d	null	Diabetes Mellitus, Type 2	Efficacious	Unclear	Phase 3	NCT00707031	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	Treatment with exenatide + metformin was superior to the placebo + metformin in increasing homeostasis model assessment, C-peptide, and beta-cell function.
DCU01781	null	null	Infection, Human Immunodeficiency Virus I	Efficacious	Unclear	Phase 3	NCT00440947	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	The median change in fasting triglycerides from baseline to week 144 was significantly different (P=.001) in the ATV-treated (-8.5 mg/dL) compared with the ATV/r-treated (28.5 mg/dL) groups.	null	improvement on lipid parameter
DCU01782	Anakinra: 100 mg; Dexamethasone: 40 mg	null	Multiple Myeloma and Plasma Cell Neoplasm	Efficacious	Unclear	Phase 2	NCT00635154	C90 Multiple myeloma and malignant plasma cell neoplasms	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms	In the clinical trial, 3 patients achieved a minor response to IL-1Ra alone; 5 patients achieved a partial response and 4 patients a minor response after addition of dexamethasone. Seven patients showed a decrease in the plasma cell labeling index that paralleled a decrease in high-sensitivity C-reactive protein (hs-CRP) levels.	null	IL-1 inhibitors decreased the myeloma proliferative rate and hs-CRP levels in those who responded, leading to a chronic disease state and an improved PFS.
DCU01909	Cyclophosphamide: 750 mg/m2; Fludarabine: 30 mg/m2; Ibritumomab tiuxetan: 0.2-0.4 mCi/kg; Rituximab: 250 mg/m2	null	Lymphoma	Need further study	Unclear	Phase 1/2	NCT00048737	C81  Hodgkin lymphoma; C85  Other specified and unspecified types of non-Hodgkin lymphoma	"C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C81  Hodgkin's disease | C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C85  Other specified and unspecified types of non-Hodgkin lymphoma"	For the FCR group (N = 47), since the last update, one patient developed recurrent disease. With a median follow-up of 107 months (range, 72-142 months), the 11-year overall survival and progression-free survival rates were 78%, and 72%, respectively. For the (90)YFC group (N = 26), more patients had chemorefractory disease than did those in the FCR group (38% and 0%, P < .001). With a median follow-up of 33 months (range,17-94 months), the 3-year progression-free survival rates for patients with chemorefractory and chemosensitive disease were 80% and 87%, respectively (P = .7).	null	The addition of (90)Y to the conditioning regimen has lower cured number and appears to be effective in patients with chemorefractory disease.
DCU07427	null	null	Progression-free Survival	Non-efficacious	Unclear	Phase 3	NCT00944918	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU07431	null	null	Breast Cancer	Efficacious	Unclear	Phase 2	Literature curated	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU07454	Obatoclax mesylate: 14 mg/m2; Topotecan: 1.25 mg/m2	null	Recurrent Small Cell Lung Cancer	Non-efficacious	Unclear	Phase 1/2	NCT00521144	C34 Malignant neoplasm of bronchus and lung	C00-D48  Neoplasms; C30-C39  Malignant neoplasms of respiratory and intrathoracic organs; C34  Malignant neoplasm of bronchus and lung	null	null	null
DCU07466	Azacitidine: 75 mg/m2; Carboplatin: AUC 2; Valproic Acid: 40 mg/kg	null	Solid Tumors	Efficacious	Unclear	Phase 1	NCT00529022	C56 Malignant neoplasm of ovary	C00-D48  Neoplasms; C51-C58  Malignant neoplasms of female genital organs; C56  Malignant neoplasm of ovary	null	null	null
DCU07467	Anakinra: 100 mg; Dexamethasone: 20-40 mg/w	null	Multiple Myeloma and Plasma Cell Neoplasm	Efficacious	Unclear	Phase 2	NCT00635154	C90 Multiple myeloma and malignant plasma cell neoplasms	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms	null	null	null
DCU07479	Mefloquine: 24 mg/kg; Artesunate: 4 mg/kg	null	Malaria infection	Efficacious	Unclear	Phase 3	NCT00373607	B54 Unspecified malaria	A00-B99  Certain infectious and parasitic diseases; B50-B64  Protozoal diseases; B54  Unspecified malaria	null	null	null
DCU07490	Candesartan: 4/8/16 mg; Enalapril: 5/10/20 mg	null	Kidney Failure, Chronic	Efficacious	Unclear	Phase 4	NCT00235287	I13 Hypertensive heart and chronic kidney disease	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I13  Hypertensive heart and chronic kidney disease	null	null	null
DCU07491	Infliximab: 5 mg/kg; Methotrexate: 15-20 mg/wk	null	Arthritis, Psoriatic	Efficacious	Unclear	Phase 3	NCT00367237	L40.52 Psoriatic arthritis mutilans	L00-L99   Diseases of the skin and subcutaneous tissue; L40-L45  Papulosquamous disorders; L40  Psoriasis; L40.52 Psoriatic arthritis mutilans	null	null	null
DCU07493	Infliximab: 10 mg/ml; Methotrexate: 10 mg/ml	null	Rheumatoid Arthritis	Efficacious	Unclear	Phase 2	NCT00207714	M05 Rheumatoid arthritis with rheumatoid factor	M00-M99   Diseases of the musculoskeletal system and connective tissue; M05-M14  Inflammatory polyarthropathies; M05  Seropositive rheumatoid arthritis	null	null	null
DCU07494	null	null	Rheumatoid Arthritis	Efficacious	Unclear	Phase 3	NCT00095147	M05 Rheumatoid arthritis with rheumatoid factor	M00-M99   Diseases of the musculoskeletal system and connective tissue; M05-M14  Inflammatory polyarthropathies; M05  Seropositive rheumatoid arthritis	null	null	null
DCU09986	Mycophenolate mofetil: 1g; Tacrolimus: -	null	Type 1 Diabetes	Efficacious	Unclear	Phase 2	NCT00533442	E10 Type 1 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E10  Insulin-dependent diabetes mellitus	null	null	null
DCU09991	null	null	Adult Primary Kidney Transplantation	Efficacious	Unclear	Phase 4	NCT00681213	N18.6 End stage renal disease	N00-N99   Diseases of the genitourinary system; N17-N19  Renal failure; N18  Chronic kidney disease (CKD); N18.6 End stage renal disease	null	null	null
DCU10000	Aspirin: 81-100 mg; Dexamethasone: -; Pomalidomide: 1/2/5 mg	null	Multiple Myeloma	Efficacious	Unclear	Phase 1/2	NCT00833833	C90 Multiple myeloma and malignant plasma cell neoplasms	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms	null	null	null
DCU10011	Darunavir: 800 mg; Raltegravir: 400 mg; Ritonavir: 100 mg	null	HIV-1 Infections	Efficacious	Unclear	Phase 2	NCT00830804	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU10032	Mycophenolate acid: 2/4.5 ng/ml; Tacrolimus: 5.5-10 ng/ml; Prednisone: 5 mg/d	null	Kidney Diseases	Efficacious	Unclear	Phase 3	NCT00284934	N18.6 End stage renal disease	N00-N99   Diseases of the genitourinary system; N17-N19  Renal failure; N18  Chronic kidney disease (CKD); N18.6 End stage renal disease	null	null	null
DCU10039	Fluticasone Propionate: 500 mcg; Salmeterol: 50 mcg	null	Pulmonary Disease, Chronic Obstructive	Efficacious	Unclear	Phase 4	NCT00527826	J44.9 Chronic obstructive pulmonary disease, unspecified	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J44  Other chronic obstructive pulmonary disease; J44.9 Chronic obstructive pulmonary disease, unspecified	null	null	null
DCU10045	Fluticasone Propionate: 250 mcg; Salmeterol: 25 mcg	null	Allergic Rhinitis	Non-efficacious	Unclear	Phase 4	NCT01388595	J30.9 Allergic rhinitis, unspecified	J00-J99   Diseases of the respiratory system; J30-J39  Other diseases of upper respiratory tract; J30  Vasomotor and allergic rhinitis; J30.9 Allergic rhinitis, unspecified	null	null	null
DCU10048	Fluticasone Propionate: 250 mcg; Salmeterol: 50 mcg	null	Bronchial Asthma	Efficacious	Unclear	Phase 4	NCT01255579	J44.9 Chronic obstructive pulmonary disease, unspecified	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J44  Other chronic obstructive pulmonary disease; J44.9 Chronic obstructive pulmonary disease, unspecified	null	null	null
DCU10059	Balapiravir: 1 g; Peginterferon alfa-2a: 180 mcg; Ribavirin: 1/1.2 g	null	Hepatitis C, Chronic	Non-efficacious	Unclear	Phase 2	NCT00517439	B18.2 Chronic viral hepatitis C	A00-B99  Certain infectious and parasitic diseases; B15-B19  Viral hepatitis; B18  Chronic viral hepatitis; B18.2 Chronic viral hepatitis C	null	null	null
DCU10073	Insulin: -; Saxagliptin: 5mg	null	Type 2 Diabetes Mellitus	Efficacious	Unclear	Phase 3	NCT00757588	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU10107	null	null	Tuberculosis	Efficacious	Unclear	Phase 2/3	NCT00495326	A15 Respiratory tuberculosis	A00-B99  Certain infectious and parasitic diseases; A15-A19  Tuberculosis; A15  Respiratory tuberculosis	null	null	null
DCU10113	Aldesleukin: 3 MU; Sorafenib: 400 mg	null	Metastatic Disease	Efficacious	Synergistic	Phase 2	NCT00609401	C64 Malignant neoplasm of kidney, except renal pelvis	C00-D48  Neoplasms; C64-C68  Malignant neoplasms of urinary tract; C64  Malignant neoplasm of kidney, except renal pelvis	null	null	null
DCU10118	Cyclophosphamide: 600 mg/m2; Pemetrexed: 600 mg/m2	null	Breast Cancer	Efficacious	Unclear	Phase 1/2	NCT00190671	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU10119	Aspirin: 100 mg; Atorvastatin: 40 mg	null	Diabetes Mellitus	Efficacious	Unclear	Phase 4	NCT00793754	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU10124	null	null	Breast Cancer	Non-efficacious	Unclear	Phase 3	NCT00540800	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU10128	Lamivudine: 300 mg; Maraviroc: 300 mg; Zidovudine: 600 mg	null	HIV-1 Infections	Efficacious	Unclear	Phase 3	NCT00098293	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU10129	Fludrocortisone: 50 mcg; Hydrocortisone: 50 mg; Insulin: 4-6mM/L	null	Septic Shock	Non-efficacious	Unclear	Phase 3	NCT00320099	R65.21 Severe sepsis with septic shock	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R50-R69  General symptoms and signs; R65  Symptoms and signs specifically associated with systemic inflammation and infection; R65.21 Severe sepsis with septic shock	null	null	null
DCU10139	null	null	Rheumatoid Arthritis	Efficacious	Unclear	Phase 3	NCT00476996	M05 Rheumatoid arthritis with rheumatoid factor	M00-M99   Diseases of the musculoskeletal system and connective tissue; M05-M14  Inflammatory polyarthropathies; M05  Seropositive rheumatoid arthritis	null	null	null
DCU10141	Amlodipine: 5/10 mg; Irbesartan: 150 mg	null	Hypertension	Efficacious	Unclear	Phase 3	NCT00957554	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10142	Amlodipine: 5/10 mg; Irbesartan: 150 mg	null	Hypertension	Efficacious	Unclear	Phase 3	NCT00956644	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10149	null	null	Uncomplicated Falciparum Malaria	Efficacious	Unclear	Phase 3	NCT00682578	B50 Plasmodium falciparum malaria	A00-B99  Certain infectious and parasitic diseases; B50-B64  Protozoal diseases; B50  Plasmodium falciparum malaria	null	null	null
DCU10156	Didanosine: 250 mg; Lamivudine: 300 mg; Nevirapine: 600 mg	null	Tuberculosis	Non-efficacious	Unclear	Phase 3	NCT00332306	A15 Respiratory tuberculosis	A00-B99  Certain infectious and parasitic diseases; A15-A19  Tuberculosis; A15  Respiratory tuberculosis	null	null	null
DCU10450	Deserpidine: 0.25mg; Methyclothiazide: 5mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10451	Deserpidine: 0.5mg; Methyclothiazide: 5mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10452	Dexamethasone sodium phosphate: eq 0.05% phosphate; Neomycin sulfate: eq 3.5mg base/gm	ointment;ophthalmic	For steroid-responsive inflammatory ocular conditions for which a corticosteroid is indicated and where bacterial infection or a risk of bacterial ocular infection exists.	Efficacious	null	Approved	FDA orange book	A49.9 Bacterial infection, unspecified	A00-B99  Certain infectious and parasitic diseases; A30-A49  Other bacterial diseases; A49  Bacterial infection of unspecified site; A49.9 Bacterial infection, unspecified	null	null	null
DCU10453	Dexamethasone sodium phosphate: eq 0.1% phosphate; Neomycin sulfate: eq 3.5mg base/ml	solution/drops;ophthalmic	For steroid-responsive inflammatory ocular conditions for which a corticosteroid is indicated and where bacterial infection or a risk of bacterial ocular infection exists.	Efficacious	null	Approved	FDA orange book	A49.9 Bacterial infection, unspecified	A00-B99  Certain infectious and parasitic diseases; A30-A49  Other bacterial diseases; A49  Bacterial infection of unspecified site; A49.9 Bacterial infection, unspecified	null	null	null
DCU10454	Dexamethasone: 0.1%; Neomycin sulfate: eq 3.5mg base/gm; Polymyxin b sulfate: 10,000 units/gm	ointment;ophthalmic	Treat bacterial infections of the eyes.	Efficacious	null	Approved	FDA orange book	A49.9 Bacterial infection, unspecified	A00-B99  Certain infectious and parasitic diseases; A30-A49  Other bacterial diseases; A49  Bacterial infection of unspecified site; A49.9 Bacterial infection, unspecified	null	null	null
DCU10455	Dihydroergotamine mesylate: 0.5mg/0.5ml; Heparin sodium: 2,500 units/0.5ml; Lidocaine hydrochloride: 5.33mg/0.5ml	injectable;injection	For anticoagulant therapy in prophylaxis and treatment of venous thrombosis and its extension, for prevention of post-operative deep venous thrombosis and pulmonary embolism and for the prevention of clotting in arterial and cardiac surgery.	Efficacious	null	Approved	FDA orange book	I82  Other venous embolism and thrombosis	I00-I99  Diseases of the circulatory system; I80-I89  Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified; I82  Other venous embolism and thrombosis	null	null	null
DCU10456	Dihydroergotamine mesylate: 0.5mg/0.7ml; Heparin sodium: 5,000 units/0.7ml; Lidocaine hydrochloride: 7.46mg/0.7ml	injectable;injection	For anticoagulant therapy in prophylaxis and treatment of venous thrombosis and its extension, for prevention of post-operative deep venous thrombosis and pulmonary embolism and for the prevention of clotting in arterial and cardiac surgery.	Efficacious	null	Approved	FDA orange book	I82  Other venous embolism and thrombosis	I00-I99  Diseases of the circulatory system; I80-I89  Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified; I82  Other venous embolism and thrombosis	null	null	null
DCU10457	Diltiazem malate: eq 180mg hcl; Enalapril maleate: 5mg	tablet, extended release;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10458	Diphenhydramine hydrochloride: 25mg; Naproxen sodium: 220mg	tablet;oral	For relief of occasional sleeplessness when associated with minor aches and pains	Efficacious	null	Approved	FDA orange book	R52 Pain, unspecified	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R50-R69  General symptoms and signs; R52  Pain, unspecified	null	null	null
DCU10459	Diphenhydramine hydrochloride: 12.5mg/5ml; Pseudoephedrine hydrochloride: 30mg/5ml	solution;oral	To relieve your specific cough and cold symptoms.	Efficacious	null	Approved	FDA orange book	R05 Cough; J00  Acute nasopharyngitis [common cold]	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R00-R09  Symptoms and signs involving the circulatory and respiratory systems; R05  Cough | J00-J99   Diseases of the respiratory system; J00-J06  Acute upper respiratory infections; J00  Acute nasopharyngitis [common cold]	null	null	null
DCU10460	Droperidol: 2.5mg/ml; Fentanyl citrate: eq 0.05mg base/ml	injectable;injection	For use as a narcotic analgesic supplement in general or regional anesthesia.	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10461	Epinephrine: 0.005mg/ml; Etidocaine hydrochloride: 0.5%	injectable;injection	For infiltration anesthesia, peripheral nerve blocks, and central neural block.	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10462	Epinephrine: 0.02mg/ml; Procaine hydrochloride: 1%	injectable;injection	Local anesthesia in Dentistry	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10463	Epinephrine: 0.02mg/ml; Procaine hydrochloride: 2%	injectable;injection	Local anesthesia in Dentistry	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10464	Esomeprazole magnesium: eq 20mg base; Naproxen: 375mg	tablet, delayed release;oral	It is indicated for the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis and ankylosing spondylitis and to decrease the risk of developing gastric ulcers in patients at risk of developing NSAID-associated gastric ulcers.	Efficacious	null	Approved	FDA orange book	M15  Polyosteoarthritis; M06.9 Rheumatoid arthritis, unspecified	M00-M99   Diseases of the musculoskeletal system and connective tissue; M15-M19  Arthrosis; M15  Polyosteoarthritis | M00-M99   Diseases of the musculoskeletal system and connective tissue; M05-M14  Inflammatory polyarthropathies; M06  Other rheumatoid arthritis; M06.9 Rheumatoid arthritis, unspecified	null	null	null
